continent,country,income,life_exp,population,year,
Gasolina de alto octanaje,AGUASCALIENTES,14.38,1.9100,93,2016,
Gasolina de bajo octanaje,AGUASCALIENTES,13.57,1.9500,96,2016,
Gasolina de alto octanaje,BAJA CALIFORNIA,14.38,1.9100,338,2016,
Gasolina de bajo octanaje,BAJA CALIFORNIA,13.57,1.9500,361,2016,
Gasolina de alto octanaje,BAJA CALIFORNIA SUR,14.38,1.9100,95,2016,
Gasolina de bajo octanaje,BAJA CALIFORNIA SUR,13.57,1.9500,104,2016,
Gasolina de alto octanaje,CAMPECHE,14.38,1.9100,48,2016,
Gasolina de bajo octanaje,CAMPECHE,13.57,1.9500,53,2016,
Gasolina de alto octanaje,CHIAPAS,14.38,1.9100,222,2016,
Gasolina de bajo octanaje,CHIAPAS,13.57,1.9500,233,2016,
Gasolina de alto octanaje,CHIHUAHUA,14.38,1.9100,294,2016,
Gasolina de bajo octanaje,CHIHUAHUA,13.57,1.9500,367,2016,
Gasolina de alto octanaje,CIUDAD DE MÉXICO,14.38,1.9100,244,2016,
Gasolina de bajo octanaje,CIUDAD DE MÉXICO,13.57,1.9500,250,2016,
Gasolina de alto octanaje,COAHUILA DE ZARAGOZA,14.38,1.9100,271,2016,
Gasolina de bajo octanaje,COAHUILA DE ZARAGOZA,13.57,1.9500,282,2016,
Gasolina de alto octanaje,COLIMA,14.38,1.9100,79,2016,
Gasolina de bajo octanaje,COLIMA,13.57,1.9500,80,2016,
Gasolina de alto octanaje,DURANGO,14.38,1.9100,141,2016,
Gasolina de bajo octanaje,DURANGO,13.57,1.9500,161,2016,
Gasolina de alto octanaje,ESTADO DE MÉXICO,14.38,1.9100,690,2016,
Gasolina de bajo octanaje,ESTADO DE MÉXICO,13.57,1.9500,709,2016,
Gasolina de alto octanaje,GUANAJUATO,14.38,1.9100,376,2016,
Gasolina de bajo octanaje,GUANAJUATO,13.57,1.9500,397,2016,
Gasolina de alto octanaje,GUERRERO,14.38,1.9100,170,2016,
Gasolina de bajo octanaje,GUERRERO,13.57,1.9500,171,2016,
Gasolina de alto octanaje,HIDALGO,14.38,1.9100,223,2016,
Gasolina de bajo octanaje,HIDALGO,13.57,1.9500,238,2016,
Gasolina de alto octanaje,JALISCO,14.38,1.9100,603,2016,
Gasolina de bajo octanaje,JALISCO,13.57,1.9500,627,2016,
Gasolina de alto octanaje,MICHOACÁN DE OCAMPO,14.38,1.9100,358,2016,
Gasolina de bajo octanaje,MICHOACÁN DE OCAMPO,13.57,1.9500,370,2016,
Gasolina de alto octanaje,MORELOS,14.38,1.9100,117,2016,
Gasolina de bajo octanaje,MORELOS,13.57,1.9500,118,2016,
Gasolina de alto octanaje,NAYARIT,14.38,1.9100,106,2016,
Gasolina de bajo octanaje,NAYARIT,13.57,1.9500,117,2016,
Gasolina de alto octanaje,NUEVO LEÓN,14.38,1.9100,368,2016,
Gasolina de bajo octanaje,NUEVO LEÓN,13.57,1.9500,380,2016,
Gasolina de alto octanaje,OAXACA,14.38,1.9100,205,2016,
Gasolina de bajo octanaje,OAXACA,13.57,1.9500,216,2016,
Gasolina de alto octanaje,PUEBLA,14.38,1.9100,401,2016,
Gasolina de bajo octanaje,PUEBLA,13.57,1.9500,421,2016,
Gasolina de alto octanaje,QUERÉTARO,14.38,1.9100,185,2016,
Gasolina de bajo octanaje,QUERÉTARO,13.57,1.9500,186,2016,
Gasolina de alto octanaje,QUINTANA ROO,14.38,1.9100,106,2016,
Gasolina de bajo octanaje,QUINTANA ROO,13.57,1.9500,115,2016,
Gasolina de alto octanaje,SAN LUIS POTOSÍ,14.38,1.9100,187,2016,
Gasolina de bajo octanaje,SAN LUIS POTOSÍ,13.57,1.9500,207,2016,
Gasolina de alto octanaje,SINALOA,14.38,1.9100,302,2016,
Gasolina de bajo octanaje,SINALOA,13.57,1.9500,323,2016,
Gasolina de alto octanaje,SONORA,14.38,1.9100,321,2016,
Gasolina de bajo octanaje,SONORA,13.57,1.9500,348,2016,
Gasolina de alto octanaje,TABASCO,14.38,1.9100,132,2016,
Gasolina de bajo octanaje,TABASCO,13.57,1.9500,134,2016,
Gasolina de alto octanaje,TAMAULIPAS,14.38,1.9100,303,2016,
Gasolina de bajo octanaje,TAMAULIPAS,13.57,1.9500,360,2016,
Gasolina de alto octanaje,TLAXCALA,14.38,1.9100,76,2016,
Gasolina de bajo octanaje,TLAXCALA,13.57,1.9500,85,2016,
Gasolina de alto octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,14.38,1.9100,522,2016,
Gasolina de bajo octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,13.57,1.9500,563,2016,
Gasolina de alto octanaje,YUCATÁN,14.38,1.9100,189,2016,
Gasolina de bajo octanaje,YUCATÁN,13.57,1.9500,203,2016,
Gasolina de alto octanaje,ZACATECAS,14.38,1.9100,142,2016,
Gasolina de bajo octanaje,ZACATECAS,13.57,1.9500,168,2016,
Gasolina de alto octanaje,AGUASCALIENTES,17.83,20.3916,93,2017,
Gasolina de bajo octanaje,AGUASCALIENTES,16.13,15.3791,96,2017,
Gasolina de alto octanaje,BAJA CALIFORNIA,17.72,19.6489,338,2017,
Gasolina de bajo octanaje,BAJA CALIFORNIA,16.01,14.5207,361,2017,
Gasolina de alto octanaje,BAJA CALIFORNIA SUR,17.74,19.7839,95,2017,
Gasolina de bajo octanaje,BAJA CALIFORNIA SUR,16.06,14.8784,104,2017,
Gasolina de alto octanaje,CAMPECHE,17.31,16.8805,48,2017,
Gasolina de bajo octanaje,CAMPECHE,15.58,11.4449,53,2017,
Gasolina de alto octanaje,CHIAPAS,17.49,18.0959,222,2017,
Gasolina de bajo octanaje,CHIAPAS,15.79,12.9471,233,2017,
Gasolina de alto octanaje,CHIHUAHUA,17.09,15.3950,294,2017,
Gasolina de bajo octanaje,CHIHUAHUA,14.9,6.5808,367,2017,
Gasolina de alto octanaje,CIUDAD DE MÉXICO,18.02,21.6745,244,2017,
Gasolina de bajo octanaje,CIUDAD DE MÉXICO,16.13,15.3791,250,2017,
Gasolina de alto octanaje,COAHUILA DE ZARAGOZA,17.52,18.2984,271,2017,
Gasolina de bajo octanaje,COAHUILA DE ZARAGOZA,15.68,12.1602,282,2017,
Gasolina de alto octanaje,COLIMA,17.69,19.4463,79,2017,
Gasolina de bajo octanaje,COLIMA,15.98,14.3062,80,2017,
Gasolina de alto octanaje,DURANGO,17.91,20.9318,141,2017,
Gasolina de bajo octanaje,DURANGO,16.2,15.8798,161,2017,
Gasolina de alto octanaje,ESTADO DE MÉXICO,17.83,20.3916,690,2017,
Gasolina de bajo octanaje,ESTADO DE MÉXICO,16.01,14.5207,709,2017,
Gasolina de alto octanaje,GUANAJUATO,17.74,19.7839,376,2017,
Gasolina de bajo octanaje,GUANAJUATO,16.03,14.6638,397,2017,
Gasolina de alto octanaje,GUERRERO,17.74,19.7839,170,2017,
Gasolina de bajo octanaje,GUERRERO,16.03,14.6638,171,2017,
Gasolina de alto octanaje,HIDALGO,17.52,18.2984,223,2017,
Gasolina de bajo octanaje,HIDALGO,15.81,13.0901,238,2017,
Gasolina de alto octanaje,JALISCO,18.15,22.5523,603,2017,
Gasolina de bajo octanaje,JALISCO,16.3,16.5951,627,2017,
Gasolina de alto octanaje,MICHOACÁN DE OCAMPO,17.89,20.7968,358,2017,
Gasolina de bajo octanaje,MICHOACÁN DE OCAMPO,16.18,15.7368,370,2017,
Gasolina de alto octanaje,MORELOS,17.55,18.5010,117,2017,
Gasolina de bajo octanaje,MORELOS,15.83,13.2332,118,2017,
Gasolina de alto octanaje,NAYARIT,17.98,21.4045,106,2017,
Gasolina de bajo octanaje,NAYARIT,16.26,16.3090,117,2017,
Gasolina de alto octanaje,NUEVO LEÓN,18.19,22.8224,368,2017,
Gasolina de bajo octanaje,NUEVO LEÓN,16.23,16.0944,380,2017,
Gasolina de alto octanaje,OAXACA,17.5,18.1634,205,2017,
Gasolina de bajo octanaje,OAXACA,15.79,12.9471,216,2017,
Gasolina de alto octanaje,PUEBLA,17.51,18.2309,401,2017,
Gasolina de bajo octanaje,PUEBLA,15.8,13.0186,421,2017,
Gasolina de alto octanaje,QUERÉTARO,17.68,19.3788,185,2017,
Gasolina de bajo octanaje,QUERÉTARO,15.98,14.3062,186,2017,
Gasolina de alto octanaje,QUINTANA ROO,17.54,18.4335,106,2017,
Gasolina de bajo octanaje,QUINTANA ROO,15.82,13.1617,115,2017,
Gasolina de alto octanaje,SAN LUIS POTOSÍ,17.58,18.7036,187,2017,
Gasolina de bajo octanaje,SAN LUIS POTOSÍ,15.8,13.0186,207,2017,
Gasolina de alto octanaje,SINALOA,17.78,20.0540,302,2017,
Gasolina de bajo octanaje,SINALOA,16.07,14.9499,323,2017,
Gasolina de alto octanaje,SONORA,17.52,18.2984,321,2017,
Gasolina de bajo octanaje,SONORA,15.7,12.3033,348,2017,
Gasolina de alto octanaje,TABASCO,17.24,16.4078,132,2017,
Gasolina de bajo octanaje,TABASCO,15.52,11.0157,134,2017,
Gasolina de alto octanaje,TAMAULIPAS,16,8.0351,303,2017,
Gasolina de bajo octanaje,TAMAULIPAS,13.72,-1.8598,360,2017,
Gasolina de alto octanaje,TLAXCALA,17.44,17.7583,76,2017,
Gasolina de bajo octanaje,TLAXCALA,15.72,12.4464,85,2017,
Gasolina de alto octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,17.2,16.1377,522,2017,
Gasolina de bajo octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,15.49,10.8011,563,2017,
Gasolina de alto octanaje,YUCATÁN,17.08,15.3275,189,2017,
Gasolina de bajo octanaje,YUCATÁN,15.36,9.8712,203,2017,
Gasolina de alto octanaje,ZACATECAS,17.89,20.7968,142,2017,
Gasolina de bajo octanaje,ZACATECAS,16.16,15.5937,168,2017,
Gasolina de alto octanaje,AGUASCALIENTES,20.36,14.1877,140,2018,
Gasolina de bajo octanaje,AGUASCALIENTES,18.88,17.0452,144,2018,
Gasolina de alto octanaje,BAJA CALIFORNIA,19.92,12.4118,521,2018,
Gasolina de bajo octanaje,BAJA CALIFORNIA,18.36,14.7417,557,2018,
Gasolina de alto octanaje,BAJA CALIFORNIA SUR,19.93,12.2957,141,2018,
Gasolina de bajo octanaje,BAJA CALIFORNIA SUR,18.4,14.5916,155,2018,
Gasolina de alto octanaje,CAMPECHE,19.69,13.7798,68,2018,
Gasolina de bajo octanaje,CAMPECHE,18.24,17.0576,75,2018,
Gasolina de alto octanaje,CHIAPAS,19.58,11.9622,260,2018,
Gasolina de bajo octanaje,CHIAPAS,18.14,14.9059,277,2018,
Gasolina de alto octanaje,CHIHUAHUA,18.92,10.7011,424,2018,
Gasolina de bajo octanaje,CHIHUAHUA,17.09,14.6713,538,2018,
Gasolina de alto octanaje,CIUDAD DE MÉXICO,20.32,12.7381,355,2018,
Gasolina de bajo octanaje,CIUDAD DE MÉXICO,18.82,16.6625,363,2018,
Gasolina de alto octanaje,COAHUILA DE ZARAGOZA,19.8,13.0137,409,2018,
Gasolina de bajo octanaje,COAHUILA DE ZARAGOZA,18.27,16.5506,427,2018,
Gasolina de alto octanaje,COLIMA,19.79,11.9023,108,2018,
Gasolina de bajo octanaje,COLIMA,18.28,14.3944,110,2018,
Gasolina de alto octanaje,DURANGO,20.08,12.1251,177,2018,
Gasolina de bajo octanaje,DURANGO,18.68,15.3174,208,2018,
Gasolina de alto octanaje,ESTADO DE MÉXICO,20.03,12.3521,936,2018,
Gasolina de bajo octanaje,ESTADO DE MÉXICO,18.55,15.8461,967,2018,
Gasolina de alto octanaje,GUANAJUATO,20.18,13.7963,542,2018,
Gasolina de bajo octanaje,GUANAJUATO,18.71,16.7586,573,2018,
Gasolina de alto octanaje,GUERRERO,19.9,12.1707,207,2018,
Gasolina de bajo octanaje,GUERRERO,18.48,15.2800,211,2018,
Gasolina de alto octanaje,HIDALGO,19.55,11.5581,258,2018,
Gasolina de bajo octanaje,HIDALGO,18.12,14.6155,282,2018,
Gasolina de alto octanaje,JALISCO,20.46,12.7187,780,2018,
Gasolina de bajo octanaje,JALISCO,19.01,16.6201,820,2018,
Gasolina de alto octanaje,MICHOACÁN DE OCAMPO,20.25,13.1796,415,2018,
Gasolina de bajo octanaje,MICHOACÁN DE OCAMPO,18.79,16.1120,435,2018,
Gasolina de alto octanaje,MORELOS,19.84,13.0183,145,2018,
Gasolina de bajo octanaje,MORELOS,18.42,16.3468,147,2018,
Gasolina de alto octanaje,NAYARIT,20.48,13.9078,138,2018,
Gasolina de bajo octanaje,NAYARIT,18.97,16.6673,155,2018,
Gasolina de alto octanaje,NUEVO LEÓN,20.25,11.3217,592,2018,
Gasolina de bajo octanaje,NUEVO LEÓN,18.62,14.7351,613,2018,
Gasolina de alto octanaje,OAXACA,19.91,13.7833,179,2018,
Gasolina de bajo octanaje,OAXACA,18.36,16.2721,198,2018,
Gasolina de alto octanaje,PUEBLA,19.68,12.4292,480,2018,
Gasolina de bajo octanaje,PUEBLA,18.24,15.4409,512,2018,
Gasolina de alto octanaje,QUERÉTARO,19.99,13.0461,266,2018,
Gasolina de bajo octanaje,QUERÉTARO,18.55,16.0778,269,2018,
Gasolina de alto octanaje,QUINTANA ROO,19.72,12.4451,155,2018,
Gasolina de bajo octanaje,QUINTANA ROO,18.24,15.3249,168,2018,
Gasolina de alto octanaje,SAN LUIS POTOSÍ,19.97,13.6104,223,2018,
Gasolina de bajo octanaje,SAN LUIS POTOSÍ,18.44,16.6974,252,2018,
Gasolina de alto octanaje,SINALOA,20.23,13.7947,446,2018,
Gasolina de bajo octanaje,SINALOA,18.75,16.6514,479,2018,
Gasolina de alto octanaje,SONORA,19.57,11.7346,473,2018,
Gasolina de bajo octanaje,SONORA,18,14.6554,514,2018,
Gasolina de alto octanaje,TABASCO,19.38,12.4200,188,2018,
Gasolina de bajo octanaje,TABASCO,17.92,15.4250,190,2018,
Gasolina de alto octanaje,TAMAULIPAS,17.94,12.1173,439,2018,
Gasolina de bajo octanaje,TAMAULIPAS,15.9,15.8599,523,2018,
Gasolina de alto octanaje,TLAXCALA,19.57,12.1817,80,2018,
Gasolina de bajo octanaje,TLAXCALA,18.16,15.4750,93,2018,
Gasolina de alto octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,19.37,12.5663,615,2018,
Gasolina de bajo octanaje,VERACRUZ DE IGNACIO DE LA LLAVE,17.87,15.3493,676,2018,
Gasolina de alto octanaje,YUCATÁN,19.47,13.9552,235,2018,
Gasolina de bajo octanaje,YUCATÁN,17.97,16.9684,255,2018,
Gasolina de alto octanaje,ZACATECAS,20.39,14.0241,155,2018,
